Demand [MW],Plant1,Plant2,Plant3,Plant4,Plant5
1.0,405.46428599362093,16.519939200000003,0.0,228.29367877215608,338.8858284273232
3.0,411.48455113703073,16.519939200000007,0.0,227.01327217546967,338.88582842732313
5.0,405.4642859936208,16.519939200000007,0.0,229.1460002349804,338.88582842732313
7.0,406.64925063030176,16.519939200000007,0.0,226.99251798434614,338.88582842732313
9.0,415.7575176900865,16.519939200000003,0.0,227.0132721754698,338.8858284273232
11.0,412.5740738137059,16.519939200000003,0.0,224.83903573370958,338.8858284273232
13.0,416.12896772374864,16.519939200000003,0.0,224.12120831683114,338.8858284273232
15.0,407.15478075300314,16.519939200000003,0.0,225.9237494987944,338.8858284273232
18.0,406.40166859376626,16.519939200000003,0.0,231.72256695460536,338.8858284273232
21.0,414.94400308706787,16.519939200000003,0.0,211.42227282146973,338.8858284273232
